period,section,category,sub_category_1,sub_category_2,metric,value
2020-H1,United States Criminal Legal Requests,Court Order,,,requests,305
2020-H1,United States Criminal Legal Requests,Court Order,,,account_identifiers,464
2020-H1,United States Criminal Legal Requests,Court Order,,,percentage_of_requests_where_some_data_was_produced,0.86
2020-H1,United States Criminal Legal Requests,EDR,,,requests,1552
2020-H1,United States Criminal Legal Requests,EDR,,,account_identifiers,1924
2020-H1,United States Criminal Legal Requests,EDR,,,percentage_of_requests_where_some_data_was_produced,0.67
2020-H1,United States Criminal Legal Requests,PRTT,,,requests,149
2020-H1,United States Criminal Legal Requests,PRTT,,,account_identifiers,265
2020-H1,United States Criminal Legal Requests,PRTT,,,percentage_of_requests_where_some_data_was_produced,0.92
2020-H1,United States Criminal Legal Requests,Search Warrant,,,requests,11033
2020-H1,United States Criminal Legal Requests,Search Warrant,,,account_identifiers,17094
2020-H1,United States Criminal Legal Requests,Search Warrant,,,percentage_of_requests_where_some_data_was_produced,0.81
2020-H1,United States Criminal Legal Requests,Subpoena,,,requests,3702
2020-H1,United States Criminal Legal Requests,Subpoena,,,account_identifiers,7009
2020-H1,United States Criminal Legal Requests,Subpoena,,,percentage_of_requests_where_some_data_was_produced,0.79
2020-H1,United States Criminal Legal Requests,Summons,,,requests,164
2020-H1,United States Criminal Legal Requests,Summons,,,account_identifiers,378
2020-H1,United States Criminal Legal Requests,Summons,,,percentage_of_requests_where_some_data_was_produced,0.88
2020-H1,United States Criminal Legal Requests,Wiretap,,,requests,26
2020-H1,United States Criminal Legal Requests,Wiretap,,,account_identifiers,59
2020-H1,United States Criminal Legal Requests,Wiretap,,,percentage_of_requests_where_some_data_was_produced,0.88
2020-H1,International Government Information Requests,Country,Argentina,,emergency_requests,0
2020-H1,International Government Information Requests,Country,Argentina,,account_identifiers_for_emergency_requests,0
2020-H1,International Government Information Requests,Country,Argentina,,percentage_of_emergency_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Argentina,,other_information_requests,1
2020-H1,International Government Information Requests,Country,Argentina,,account_identifiers_for_other_information_requests,1
2020-H1,International Government Information Requests,Country,Argentina,,percentage_of_other_information_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Australia,,emergency_requests,83
2020-H1,International Government Information Requests,Country,Australia,,account_identifiers_for_emergency_requests,88
2020-H1,International Government Information Requests,Country,Australia,,percentage_of_emergency_requests_where_some_data_was_produced,0.82
2020-H1,International Government Information Requests,Country,Australia,,other_information_requests,78
2020-H1,International Government Information Requests,Country,Australia,,account_identifiers_for_other_information_requests,177
2020-H1,International Government Information Requests,Country,Australia,,percentage_of_other_information_requests_where_some_data_was_produced,0.04
2020-H1,International Government Information Requests,Country,Austria,,emergency_requests,1
2020-H1,International Government Information Requests,Country,Austria,,account_identifiers_for_emergency_requests,1
2020-H1,International Government Information Requests,Country,Austria,,percentage_of_emergency_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Austria,,other_information_requests,19
2020-H1,International Government Information Requests,Country,Austria,,account_identifiers_for_other_information_requests,27
2020-H1,International Government Information Requests,Country,Austria,,percentage_of_other_information_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Belgium,,emergency_requests,1
2020-H1,International Government Information Requests,Country,Belgium,,account_identifiers_for_emergency_requests,1
2020-H1,International Government Information Requests,Country,Belgium,,percentage_of_emergency_requests_where_some_data_was_produced,1
2020-H1,International Government Information Requests,Country,Belgium,,other_information_requests,51
2020-H1,International Government Information Requests,Country,Belgium,,account_identifiers_for_other_information_requests,67
2020-H1,International Government Information Requests,Country,Belgium,,percentage_of_other_information_requests_where_some_data_was_produced,0.02
2020-H1,International Government Information Requests,Country,Bermuda,,emergency_requests,1
2020-H1,International Government Information Requests,Country,Bermuda,,account_identifiers_for_emergency_requests,1
2020-H1,International Government Information Requests,Country,Bermuda,,percentage_of_emergency_requests_where_some_data_was_produced,1
2020-H1,International Government Information Requests,Country,Bermuda,,other_information_requests,1
2020-H1,International Government Information Requests,Country,Bermuda,,account_identifiers_for_other_information_requests,5
2020-H1,International Government Information Requests,Country,Bermuda,,percentage_of_other_information_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Bulgaria,,emergency_requests,0
2020-H1,International Government Information Requests,Country,Bulgaria,,account_identifiers_for_emergency_requests,0
2020-H1,International Government Information Requests,Country,Bulgaria,,percentage_of_emergency_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Bulgaria,,other_information_requests,1
2020-H1,International Government Information Requests,Country,Bulgaria,,account_identifiers_for_other_information_requests,1
2020-H1,International Government Information Requests,Country,Bulgaria,,percentage_of_other_information_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Canada,,emergency_requests,320
2020-H1,International Government Information Requests,Country,Canada,,account_identifiers_for_emergency_requests,365
2020-H1,International Government Information Requests,Country,Canada,,percentage_of_emergency_requests_where_some_data_was_produced,0.74
2020-H1,International Government Information Requests,Country,Canada,,other_information_requests,114
2020-H1,International Government Information Requests,Country,Canada,,account_identifiers_for_other_information_requests,163
2020-H1,International Government Information Requests,Country,Canada,,percentage_of_other_information_requests_where_some_data_was_produced,0.53
2020-H1,International Government Information Requests,Country,Denmark,,emergency_requests,1
2020-H1,International Government Information Requests,Country,Denmark,,account_identifiers_for_emergency_requests,1
2020-H1,International Government Information Requests,Country,Denmark,,percentage_of_emergency_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Denmark,,other_information_requests,94
2020-H1,International Government Information Requests,Country,Denmark,,account_identifiers_for_other_information_requests,169
2020-H1,International Government Information Requests,Country,Denmark,,percentage_of_other_information_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Estonia,,emergency_requests,0
2020-H1,International Government Information Requests,Country,Estonia,,account_identifiers_for_emergency_requests,0
2020-H1,International Government Information Requests,Country,Estonia,,percentage_of_emergency_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Estonia,,other_information_requests,1
2020-H1,International Government Information Requests,Country,Estonia,,account_identifiers_for_other_information_requests,1
2020-H1,International Government Information Requests,Country,Estonia,,percentage_of_other_information_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Finland,,emergency_requests,2
2020-H1,International Government Information Requests,Country,Finland,,account_identifiers_for_emergency_requests,2
2020-H1,International Government Information Requests,Country,Finland,,percentage_of_emergency_requests_where_some_data_was_produced,0.5
2020-H1,International Government Information Requests,Country,Finland,,other_information_requests,3
2020-H1,International Government Information Requests,Country,Finland,,account_identifiers_for_other_information_requests,3
2020-H1,International Government Information Requests,Country,Finland,,percentage_of_other_information_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,France,,emergency_requests,73
2020-H1,International Government Information Requests,Country,France,,account_identifiers_for_emergency_requests,86
2020-H1,International Government Information Requests,Country,France,,percentage_of_emergency_requests_where_some_data_was_produced,0.34
2020-H1,International Government Information Requests,Country,France,,other_information_requests,370
2020-H1,International Government Information Requests,Country,France,,account_identifiers_for_other_information_requests,497
2020-H1,International Government Information Requests,Country,France,,percentage_of_other_information_requests_where_some_data_was_produced,0.64
2020-H1,International Government Information Requests,Country,Germany,,emergency_requests,94
2020-H1,International Government Information Requests,Country,Germany,,account_identifiers_for_emergency_requests,98
2020-H1,International Government Information Requests,Country,Germany,,percentage_of_emergency_requests_where_some_data_was_produced,0.67
2020-H1,International Government Information Requests,Country,Germany,,other_information_requests,273
